,precision,recall,f1-score,support
weighted avg,0.8161437134546724,0.8074,0.8056304090396167,20000.0
0,0.7514544587505961,0.9062571888658845,0.8216278220970854,8694.0
1,0.8114586378251973,0.651337400281558,0.7226343876090069,4262.0
2,0.8884148342632097,0.7685973878478137,0.824174151316791,7044.0
accuracy,0.80345,0.80345,0.80345,0.80345
macro avg,0.8171093102796677,0.7753973256650853,0.7894787870076277,20000.0
weighted avg,0.8124787935669361,0.80345,0.8014291383588561,20000.0
0,0.7513635508745533,0.9168100975329891,0.8258824745464882,8715.0
1,0.8357015985790408,0.6551404038059875,0.7344867958891635,4309.0
2,0.8919505678022712,0.765625,0.8239740820734341,6976.0
accuracy,0.8077,0.8077,0.8077,0.8077
macro avg,0.8263385724186217,0.779191833779659,0.7947811175030286,20000.0
weighted avg,0.818570934756873,0.8077,0.8055256282851664,20000.0
0,0.7421897255721204,0.9090486159571993,0.8171885618694129,8598.0
1,0.8157262905162065,0.6271342870327642,0.7091051395773545,4334.0
2,0.8906631904839498,0.7733446519524618,0.8278682317304051,7068.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8161930688574256,0.7698425183141419,0.7847206443923908,20000.0
weighted avg,0.8105956216953444,0.8,0.7975410795875985,20000.0
0,0.75414206817749,0.9075283602612582,0.8237557855322689,8727.0
1,0.8253595538597006,0.6624263839811543,0.7349712493465761,4245.0
2,0.8865539320308652,0.7683551508252704,0.8232334781614452,7028.0
accuracy,0.8066,0.8066,0.8066,0.8066
macro avg,0.8220185180226852,0.7794366316892276,0.7939868376800967,20000.0
weighted avg,0.8157875084716152,0.8066,0.8047277289167482,20000.0
0,0.7500237439452939,0.914322102581915,0.8240634456850673,8637.0
1,0.8152537222728654,0.6293689889749003,0.7103521313211544,4263.0
2,0.8914239482200648,0.7759154929577465,0.8296686746987951,7100.0
accuracy,0.80445,0.80445,0.80445,0.80445
macro avg,0.818900471479408,0.7732021948381873,0.7880280839016723,20000.0
weighted avg,0.8141245863433595,0.80445,0.8018157353282725,20000.0
0,0.7547115933752142,0.912848261570343,0.8262817840766986,8686.0
1,0.8292537313432836,0.6463471382038157,0.7264644351464435,4298.0
2,0.8888346354166666,0.7783637400228051,0.8299392097264437,7016.0
accuracy,0.8084,0.8084,0.8084,0.8084
macro avg,0.8242666533783881,0.7791863799323213,0.7942284763165287,20000.0
weighted avg,0.8177810619726938,0.8084,0.8061140607095174,20000.0
0,0.7528702640642939,0.9097109826589596,0.8238927860956968,8650.0
1,0.8375258952352768,0.6511734928670041,0.7326860841423948,4346.0
2,0.8844221105527639,0.7789834380354084,0.8283610415243301,7004.0
accuracy,0.80775,0.80775,0.80775,0.80775
macro avg,0.8249394232841114,0.7799559711871241,0.7949799705874739,20000.0
weighted avg,0.8173353893580106,0.80775,0.8056383528123517,20000.0
0,0.7475167912212657,0.9108933717579251,0.8211576431466279,8675.0
1,0.8235118157343704,0.6495988673902784,0.726289407729851,4238.0
2,0.8935261255340124,0.767320445886835,0.8256281788506794,7087.0
accuracy,0.80465,0.80465,0.80465,0.80465
macro avg,0.8215182441632162,0.775937561678346,0.7910250765757194,20000.0
weighted avg,0.8153585445293143,0.80465,0.8026391983885435,20000.0
0,0.7464468447981808,0.9051011029411765,0.8181534946515734,8704.0
1,0.8185666767462957,0.6339578454332553,0.7145308169460208,4270.0
2,0.8848346636259977,0.7731283803017364,0.8252183820736803,7026.0
accuracy,0.80085,0.80085,0.80085,0.80085
macro avg,0.8166160617234914,0.7707291095587226,0.7859675645570915,20000.0
weighted avg,0.8104600696733154,0.80085,0.7985119479128241,20000.0
0,0.758567872869998,0.9116428900138058,0.8280907095830286,8692.0
1,0.8296994696523277,0.6554934823091247,0.7323797139141742,4296.0
2,0.8949675324675325,0.7862236166571591,0.8370786516853933,7012.0
accuracy,0.81265,0.81265,0.81265,0.81265
macro avg,0.8277449583299528,0.7844533296600299,0.7991830250608652,20000.0
weighted avg,0.821668660513738,0.81265,0.8106831602144478,20000.0
0,0.7505681818181819,0.9106158088235294,0.8228820598006644,8704.0
1,0.8316529178124045,0.6374707259953162,0.7217287551372134,4270.0
2,0.887627695800227,0.7791061770566468,0.8298340028803153,7026.0
accuracy,0.8061,0.8061,0.8061,0.8061
macro avg,0.8232829318102711,0.7757309039584975,0.7914816059393978,20000.0
weighted avg,0.8160287802148408,0.8061,0.803728046858899,20000.0
0,0.7471910112359551,0.9040322580645161,0.8181628610155354,8680.0
1,0.8081429408318688,0.6425244527247321,0.7158796056045666,4294.0
2,0.8814924391847468,0.7633077142043837,0.8181540808543097,7026.0
accuracy,0.79845,0.79845,0.79845,0.79845
macro avg,0.8122754637508569,0.7699548083312107,0.7840655158248039,20000.0
weighted avg,0.8074574821586084,0.79845,0.7961995616081619,20000.0
0,0.7531813865147199,0.911504424778761,0.8248141022307732,8701.0
1,0.8184506209343584,0.6531382727701747,0.726509186351706,4238.0
2,0.8983245729303548,0.7745361846763914,0.8318503308236368,7061.0
accuracy,0.8084,0.8084,0.8084,0.8084
macro avg,0.8233188601264777,0.779726294075109,0.7943912064687053,20000.0
weighted avg,0.8182547392522812,0.8084,0.8064674310607094,20000.0
0,0.7528697467033488,0.9130234698573401,0.8252482712005408,8692.0
1,0.824566646742379,0.6441746439411628,0.7232926989120462,4283.0
2,0.8866350400785212,0.7715302491103203,0.8250875323489115,7025.0
accuracy,0.80575,0.80575,0.80575,0.80575
macro avg,0.8213571445080831,0.7762427876362743,0.7912095008204995,20000.0
weighted avg,0.8152086971447364,0.80575,0.8033580258733249,20000.0
0,0.7530103346923296,0.9069315975790796,0.8228346456692913,8757.0
1,0.8220619176435227,0.6521220791607057,0.7272969020077117,4194.0
2,0.8862226575253019,0.7701801673996311,0.8241366223908918,7049.0
accuracy,0.8053,0.8053,0.8053,0.8053
macro avg,0.8204316366203847,0.7764112813798055,0.7914227233559649,20000.0
weighted avg,0.8144411348196758,0.8053,0.8032592625189862,20000.0
0,0.7555871212121212,0.9121984680461873,0.8265395970373439,8747.0
1,0.8297999402806808,0.6486928104575164,0.7281540678632255,4284.0
2,0.892135938269578,0.7797388434495623,0.8321592649310873,6969.0
accuracy,0.8096,0.8096,0.8096,0.8096
macro avg,0.8258409999207933,0.7802100406510887,0.795617643277219,20000.0
weighted avg,0.8190639423602776,0.8096,0.8074235899658226,20000.0
0,0.7473534971644612,0.9080156178226918,0.819888013272501,8708.0
